id,name,host_id,host_name,neighbourhood,longitude,latitude,property_type,room_type,beds,accommodates,price,availability,minimum_night,maximum_night,no_of_reviews,rating,host_listings_counts
15326391,"appartement RDC - prime spot, quiet first floor",9482285,Martine,Le Plateau,-73.57534,45.53431,Apartment,Entire home/apt,3,4,140,253,31,1125,3,100,2
15332652,Private room in convenient & trendy location - Rm2,1468796,Lilian,Redfern,151.20036,-33.89368,Townhouse,Private room,1,2,75,66,2,1125,17,98,1
1534038,Belle chambre au coeur d'Outremont,8181128,Jean-François,Outremont,-73.61179,45.52445,Apartment,Private room,1,2,46,253,2,365,2,100,1
15341505,Private Room in Renovated Library w/ Swimming Pool,97816069,Martha,Outremont,2.11732,41.41753,Villa,Private room,2,2,95,277,2,15,89,98,2
15353532,"Nice room in artistic apartment, very central",7129627,Mary,Outremont,2.18227,41.3859,Apartment,Private room,1,1,15,0,4,1125,15,91,1
15360364,Cozy private room on the UES,51007432,Kristina,Outremont,-73.94782,40.7739,Apartment,Private room,0,1,78,362,1,1125,66,83,1
15362525,The Destination Loft Downtown Montreal #203,25284295,Daniel @ LoveMTL,Downtown Montreal,-73.58,45.49484,Loft,Entire home/apt,1,3,137,361,1,1125,83,91,12
1537570,Double bedroom-best spot in town !,4349036,Patrick,La Petite-Patrie,-73.59605,45.54842,Apartment,Private room,1,2,40,314,5,32,37,94,2
15384713,Charming apartment in the city center,69917073,Miguel,La Petite-Patrie,-8.61799,41.15095,Apartment,Entire home/apt,2,4,60,362,3,1125,31,90,3
15386249,Tapioles Triplex Apartment,6521082,Francisco,La Barceloneta,2.16296,41.37339,Apartment,Entire home/apt,7,10,209,239,3,1000,25,69,17
15400061,Downtown Montreal Modern Appartement,54371240,Sophia,Downtown Montreal,-73.57844,45.49455,Apartment,Entire home/apt,1,3,110,0,2,1125,30,91,1
15417267,+Spacious Studio&Kitchenette near Blue Mosque+,98780303,Kadirga,Sultanahmet,28.96755,41.00488,Apartment,Entire home/apt,4,5,264,362,2,1125,39,78,7
15436372,Stunning Tamarama 2BR apartment with ocean views,98980776,Ben,Tamarama,151.27248,-33.89868,Apartment,Entire home/apt,3,5,350,0,2,1125,2,100,1
154437,Charming room  Diagonal wifi 100 Mb,474355,Annais,L'Antiga Esquerra de l'Eixample,2.1509,41.39106,Apartment,Private room,1,1,39,126,7,45,67,97,1
15453288,Large/comfy 1 bed apartment- 10 mins from beach,98099248,Paula,Kingsford,151.23721,-33.93316,Apartment,Entire home/apt,1,2,115,84,5,12,2,100,1
15469178,Cozy place in Hong Kong Island,32083388,Carmen,Wan Chai,114.16853,22.2751,Apartment,Entire home/apt,2,3,1499,336,1,1125,9,90,2
15488401,INSTAGRAM HOME *MTR*ELEMENT MALL*NEW TRAIN KOWLOON,66883702,Jessa Marie,Tai Kok Sui,114.17509,22.29879,Apartment,Entire home/apt,6,9,1562,300,2,1124,43,96,4
15498188,FloresRooms Mouzinho 2,51724179,Andreia,Tai Kok Sui,-8.61234,41.14442,Apartment,Entire home/apt,1,2,50,274,2,1124,156,97,6
1550449,sunny 2 bedroom close to Bosphorus,78838,Gülder,Beşiktaş,29.04246,41.06944,Apartment,Private room,1,1,100,354,3,8,3,100,2
15529123,"Park slope,  floor through garden apartment",8940513,Martha,Park Slope,-73.97479,40.67148,Townhouse,Entire home/apt,2,3,198,160,7,1125,38,98,1
15535000,"Napili Ridge, Maui ~ J1 ~ Garden View",62315243,Daniel & Debra,Napili/Honokowai,-156.66581,20.98825,Apartment,Entire home/apt,1,2,132,285,1,1125,82,94,4
15542962,Nice and furnished apartment on top of HK skyline,28540701,Théo,Sheung Wan,114.14587,22.28754,Apartment,Entire home/apt,1,2,440,0,2,1125,5,95,1
15550900,Bright large Williamsburg 1 bed apartment,6521189,Paul,Williamsburg,-73.96445,40.70953,Apartment,Entire home/apt,1,3,190,0,6,40,17,91,1
