,id,name,host_id,host_name,neighbourhood,longitude,latitude,property_type,room_type,beds,accommodates,price,availability,minimum_night,maximum_night,no_of_reviews,rating,host_listings_counts
125,1074008,Designer's Historical Apartment,5908273,Pia,Cihangir,28.97994,41.03406,Apartment,Entire home/apt,1,2,385.00,365,2,1125,17,97,2
126,10742116,"Nişantaşı, safe, quality area.Very close to metro.",19354362,Enis,,28.99363,41.05261,Apartment,Entire home/apt,2,4,417.00,297,5,1125,6,83,7
127,10751153,Renovated Classic Design Studio with Sun Room,11417174,Maribel Monzo,Brickell,-8.60106,41.14684,Apartment,Entire home/apt,1,3,58.00,359,3,40,32,94,4
128,10751153,Renovated Classic Design Studio with Sun Room,11417174,Maribel Monzo,Brickell,-8.60106,41.14684,Apartment,Entire home/apt,1,3,58.00,359,3,40,32,94,4
129,10751153,Renovated Classic Design Studio with Sun Room,11417174,Maribel Monzo,Brickell,-8.60106,41.14684,Apartment,Entire home/apt,1,3,58.00,359,3,40,32,94,4
130,10782351,City View Apartment,3938375,Orhan,Taksim,28.98789,41.03445,Serviced apartment,Entire home/apt,2,3,211.00,343,1,1125,1,80,6
131,1079887,Trendy apartment in BCN centre,542867,Gabriela & Miguel,Sants-Montjuïc,2.14596,41.38475,Apartment,Entire home/apt,2,4,89.00,280,2,1125,104,93,3
132,10802909,Room in the very ♥ of BCN - Unbeatable location,55390614,Flo,El Gòtic,2.17778,41.38049,Condominium,Private room,2,2,40.00,253,2,1125,122,78,5
133,10802909,Room in the very ♥ of BCN - Unbeatable location,55390614,Flo,El Gòtic,2.17778,41.38049,Condominium,Private room,2,2,40.00,253,2,1125,122,78,5
134,10816768,Spacious 2 Bedroom: Soho/Escalator,56006867,Tara,Soho,114.15315,22.28028,Apartment,Entire home/apt,3,5,1703.00,108,2,1125,86,99,1
135,10816768,Spacious 2 Bedroom: Soho/Escalator,56006867,Tara,Soho,114.15315,22.28028,Apartment,Entire home/apt,3,5,1703.00,108,2,1125,86,99,1
136,10816768,Spacious 2 Bedroom: Soho/Escalator,56006867,Tara,Soho,114.15315,22.28028,Apartment,Entire home/apt,3,5,1703.00,108,2,1125,86,99,1
137,10839801,Room w private toilet 3 min to MTR!,13416742,Joanna,,114.20854,22.29099,Condominium,Private room,1,2,447.00,140,2,30,72,97,3
138,10839801,Room w private toilet 3 min to MTR!,13416742,Joanna,,114.20854,22.29099,Condominium,Private room,1,2,447.00,140,2,30,72,97,3
139,10840938,Spacious 3bdrm. Artsy and Perfect Location!,930612,Melanie,Downtown Vancouver,114.15202,22.28582,Apartment,Entire home/apt,3,5,1146.00,306,2,1125,125,87,5
140,10850008,Big Private BR Steps to Barnard Columbia & Subways,56197328,Paul,Morningside Heights,-73.9648,40.80732,Apartment,Private room,1,2,128.00,267,1,1125,29,99,2
141,10850008,Big Private BR Steps to Barnard Columbia & Subways,56197328,Paul,Morningside Heights,-73.9648,40.80732,Apartment,Private room,1,2,128.00,267,1,1125,29,99,2
142,10850008,Big Private BR Steps to Barnard Columbia & Subways,56197328,Paul,Morningside Heights,-73.9648,40.80732,Apartment,Private room,1,2,128.00,267,1,1125,29,99,2
143,10857454,Artist Garden Duplex Ft. Greene - 2.5 Bedroom,36894011,Miriam,Fort Greene,-73.97527,40.6884,Apartment,Entire home/apt,3,8,250.00,198,2,30,89,98,2
144,10857454,Artist Garden Duplex Ft. Greene - 2.5 Bedroom,36894011,Miriam,Fort Greene,-73.97527,40.6884,Apartment,Entire home/apt,3,8,250.00,198,2,30,89,98,2
145,10887852,Cozy Hell's Kitchen Apt,39754804,Karen,Hell's Kitchen,-73.99482,40.76438,Apartment,Entire home/apt,1,2,125.00,66,1,1125,60,95,1
146,10893326,Designer Apartment in Sheung Wan,9479239,Maria,,114.14881,22.28354,Apartment,Entire home/apt,1,2,1484.00,0,1,1125,18,98,1
147,1089542,Private Cozy Bedroom in Brooklyn,663764,Karen,Flatbush,-73.94883,40.6536,Apartment,Private room,1,2,47.00,100,2,30,241,93,2
148,1090153,Aquilla House - Ocean Views Newport,5990033,Susannah,,151.31572,-33.65212,House,Entire home/apt,5,8,500.00,363,7,60,3,93,2
149,10908640,Quarto de Casal em Ipanema,29744388,Gabriela,Ipanema,-43.19841687233581,-22.98376501071312,Apartment,Private room,1,2,149.00,0,2,1125,2,100,2
150,10911771,causeway bay MTR+Tidy Quad room&YT,52473150,Danny,Mong Kok,114.18651,22.28186,Apartment,Private room,3,4,597.00,32,1,2147483647,15,76,29
151,1092760,Private Entrance - Backyard Summer Dining - Enjoy,5887081,Michelle,Bedford-Stuyvesant,-73.95321,40.69034,Townhouse,Entire home/apt,2,2,110.00,300,7,29,184,96,3
152,10932304,"Waterfront, Enchanted Lake Home 2/1",49457265,Tom,Kailua,-157.74147,21.37812,House,Entire home/apt,4,8,189.00,312,4,1125,44,87,7
153,10948197,aOceanside Hawaii Apartment Studio Kitchen Parking,56775580,Jay,Waikiki,-157.83937,21.2837,Apartment,Entire home/apt,1,2,99.00,88,1,1125,137,93,5
154,1095174,Makai Hideaway,6017048,Cheryl,Island of Hawaiʻi,-155.89926,19.20636,House,Entire home/apt,8,14,169.00,215,4,180,119,97,2
155,10977704,Bright PrivateRm 1 min to JordanMTR,56949831,Sam,Jordan,114.17127,22.30549,Hostel,Private room,1,1,447.00,62,2,1125,203,96,22
156,1098211,Super location - Walk to the City!,4099460,Serena,Neutral Bay,151.22133,-33.87521,Apartment,Entire home/apt,1,2,119.00,0,3,1125,9,84,3
157,10985735,enjoy nature in Istanbul,56998832,Sanem,,29.11608,40.862,House,Entire home/apt,2,4,359.00,0,2,1125,15,94,1
158,10990260,The Executive  Posh Room,57023844,Karlene,Jamaica,-73.77835,40.68135,House,Private room,1,2,90.00,365,1,60,21,91,8
159,10992286,Holoholo Inn: Rain Forest (Priv-2),56866557,Satoshi,Island of Hawaiʻi,-155.2403,19.43344,House,Private room,1,2,105.00,360,1,1125,44,98,6
160,10992671,Brooklyn Artist Loft / Fun Location,21965282,Joseph,Bay Ridge,-74.02972,40.63199,Apartment,Private room,1,3,59.00,364,30,360,13,98,9
161,11005300,East Village Sanctuary,57107571,Molly,East Village,-73.98763,40.72808,Apartment,Entire home/apt,1,2,200.00,117,30,90,19,100,1
162,11005300,East Village Sanctuary,57107571,Molly,East Village,-73.98763,40.72808,Apartment,Entire home/apt,1,2,200.00,117,30,90,19,100,1
